Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U3         SOIC-8_-_N_-_Power_Pad        43.5mm        92.7mm        43.5mm        92.7mm      45.405mm     95.5001mm  T        180.00 TPS5431        
U12        VFQFN-32_(32-Lead_LFCSP_VQ)          55mm       108.5mm          55mm       108.5mm        57.5mm      106.75mm  T        180.00 ADG2188        
L1         BOURNS_1260            55.9mm       90.35mm        55.9mm       90.35mm        55.9mm        85.3mm  T         90.00 18uH           
U15        MSOP-8                   50mm       117.5mm          50mm       117.5mm      49.025mm         120mm  B        360.00 MCP4561-503E/MS
U13        MSOP-8                   55mm       117.5mm          55mm       117.5mm      54.025mm         120mm  B        360.00 MCP4561-103E/MS
U11        uMAX-8                 58.5mm       117.5mm        58.5mm       117.5mm      57.525mm      115.35mm  T         90.00 MAX11644EUA+   
C56        SM/C_0603              47.7mm       117.6mm        47.7mm       117.6mm        47.7mm    116.8888mm  B         90.00 100nF          
C53        SM/C_0603              52.7mm       117.6mm        52.7mm       117.6mm        52.7mm    116.8888mm  B         90.00 100nF          
C52        SM/C_0805              54.9mm       118.5mm        54.9mm       118.5mm        54.9mm    119.5668mm  T        270.00 4.7uF          
C51        SM/C_0603              56.3mm       118.8mm        56.3mm       118.8mm        56.3mm    119.5112mm  T        270.00 100nF          
C43        SM/C_0805              44.3mm       104.1mm        44.3mm       104.1mm     45.3668mm       104.1mm  T        180.00 22uF           
U14        VSSOP-8               55.15mm      127.05mm        53.6mm       126.3mm        53.6mm       126.3mm  B        360.00 TCA9406DCU     
U7         SDIP-8                 28.5mm         120mm        28.5mm         120mm       24.05mm      116.19mm  B         90.00 6N138S         
Y1         ABRACON_OSCILLATOR_ASFL1_SERIES        26.9mm        33.8mm        26.9mm        33.8mm       25.63mm        32.7mm  T        360.00 OSCILLATOR_2   
U18        TSSOP-14            78.7996mm     50.8996mm     78.7996mm     50.8996mm     76.8495mm     47.3996mm  T         90.00 PCA9543APW     
U17        TSSOP-14                 99mm        57.5mm          99mm        57.5mm       102.5mm       55.55mm  T        180.00 NCP5623DTBR2G  
U16        TSSOP-14                 99mm        46.8mm          99mm        46.8mm       102.5mm       44.85mm  T        180.00 NCP5623DTBR2G  
U10        SOT23-5                24.5mm          94mm        24.5mm          94mm        25.8mm       93.05mm  T         90.00 SN74AHCT1G125DBVR
U9         TSSOP-20            33.7996mm     62.2998mm     33.7996mm     62.2998mm     30.8746mm     58.7998mm  T         90.00 XCF04S         
U8         SOIC-8_-_N             32.6mm        92.7mm        32.6mm        92.7mm      34.505mm        95.5mm  T        180.00 TL750L08CD     
U5         SOT23-5                41.7mm        41.5mm        41.7mm        41.5mm          43mm       42.45mm  B        270.00 TLV70212DBV    
U4         SOIC-8_-_N             36.9mm       119.3mm        36.9mm       119.3mm      34.995mm       116.5mm  T          0.00 LP2989IMX-3.3  
U2         SOIC-8_-_N             77.7mm        24.1mm        77.7mm        24.1mm        74.9mm      26.005mm  T        270.00 CAT24C32       
U1         SOIC-18_-_W          44.255mm      140.62mm        48.7mm       145.7mm        48.7mm       145.7mm  B        270.00 MCP23008T-E/SO 
SW2        TE_Connectivity_SWITCH_SERIES-FSMSM        96.5mm          40mm        96.5mm          40mm       101.1mm          40mm  T        180.00 SW_PUSHBUTTON  
SW1        TE_Connectivity_SWITCH_SERIES-FSMSM        96.5mm          35mm        96.5mm          35mm       101.1mm          35mm  T        180.00 SW_PUSHBUTTON  
R63        SM/R_0603                85mm        56.1mm          85mm        56.1mm     85.7112mm        56.1mm  T        180.00 3K9            
R62        SM/R_0603                85mm        52.9mm          85mm        52.9mm     85.7112mm        52.9mm  T        180.00 3K9            
R61        SM/R_0603                85mm          49mm          85mm          49mm     85.7112mm          49mm  T        180.00 3K9            
R60        SM/R_0603                85mm        45.5mm          85mm        45.5mm     85.7112mm        45.5mm  T        180.00 3K9            
R57        SM/R_0603                51mm        48.3mm          51mm        48.3mm     51.7112mm        48.3mm  B        180.00 100K           
R55        SM/R_0603              23.3mm        86.5mm        23.3mm        86.5mm        23.3mm     87.2112mm  T        270.00 150R           
R54        SM/R_0603              27.5mm       138.5mm        27.5mm       138.5mm     26.7888mm       138.5mm  T        360.00 100R           
R53        SM/R_0603              27.6mm       145.5mm        27.6mm       145.5mm     26.8888mm       145.5mm  T        360.00 100R           
R52        SM/R_0603              27.5mm       134.5mm        27.5mm       134.5mm     26.7888mm       134.5mm  T        360.00 100R           
R51        SM/R_0603              27.5mm         142mm        27.5mm         142mm     26.7888mm         142mm  T        360.00 100R           
R50        SM/R_0603            52.106mm     138.558mm      52.106mm     138.558mm      52.106mm    139.2692mm  T        270.00 10K            
R49        SM/R_0603              76.5mm         109mm        76.5mm         109mm     77.2112mm         109mm  T        180.00 100R           
R48        SM/R_0603              11.7mm       131.5mm        11.7mm       131.5mm        11.7mm    130.7888mm  B         90.00 100K           
R47        SM/R_0603                18mm       131.5mm          18mm       131.5mm          18mm    130.7888mm  B         90.00 100K           
R46        SM/R_0603                50mm       110.3mm          50mm       110.3mm     49.2888mm       110.3mm  T        360.00 200R           
R45        SM/R_0603              58.2mm       112.3mm        58.2mm       112.3mm     57.4888mm       112.3mm  T        360.00 200R           
R44        SM/R_0603              57.6mm       103.9mm        57.6mm       103.9mm     56.8888mm       103.9mm  T        360.00 10K            
R43        SM/R_0603              76.5mm       105.5mm        76.5mm       105.5mm     77.2112mm       105.5mm  T        180.00 100R           
R34        SM/R_0603              76.5mm         102mm        76.5mm         102mm     77.2112mm         102mm  T        180.00 100R           
R33        SM/R_0603              76.5mm        98.5mm        76.5mm        98.5mm     77.2112mm        98.5mm  T        180.00 100R           
